review,true_label,pred_label,confidence
"ها أنا مجددا اقوم بدور اكرهه و هو الاتجاة عكس التيار عندى مشكلة مع بعض افكار الشيخ الغزالى و بحب بعض ارائه جداا .مش بعتبر ده تناقض افكار الغزالى فى المرأة ممتعه و رائعة و مبشره لواحده زيى بتتحييز للستات و مش بتتكسف فى كده.و ارائه السياسيه اراها كارثيه و اشهرها موقفه السئ فى قضية فرج فوده مش عارفه عادى انى اقبل نص افكاره و التانى لا او دى حاجه غريبه بس انا مستريحة كده اكتر.و على رأيى جدتى : ربنا لما وزع الرزق محدش رضى برزقه و لما وزع العقول محدش رضى الا بعقله حسنا.لقد صدمنى الكتاب و احبطتنى طريقة تفكير الشيخ الغزالى فى كثير من المواضيع و ساحاول توضيح تلك الصدمة دون اهانة لذكرى الرجل الذى احب بعض ارائه و انبذ الاخرى ******************* هجومه اللاذع على العلمانية و وصفها باوصاف الكفر و الالحاد و الهجوم على الاسلام اثار حفيظتى قطعا.كما ان اقرانه للغرب دائما -ايضا- بالكفر و الالحاد و ""الجهل"" رأيته ليس من الصواب فى شئ فى رأيى التافة طبعا يوصف توفيق الحكيم ب""العلمانى عظيم"" و وصفه بالعظيم فقط لكونه اتعرف بخطأه فى فيما بعد بكتابه كتاب ""عودة الوعى"" و هو يلمح انه كان فاقد لهذا الوعى حين كان علمانيا.كما ان هجومه الطاغى على ""لويس عوض"" ووصفه بتلك الاوصاف صدمنى حقا خاصه و انا احترم هذا الرجل كثيرا كما ان وصف العلمانية ب""كره اعمى للاسلام و رجاله و حب اعمى لمن يخونون قضاياه و يظاهرون خصومة"" كان بمثابة تشكيك واضح فى اراء الغزالى بالنسبة لى .فالرجل يمارس اسلوب رأيناه كثيرا تلك الايام كما انه ""يتخيل"" ان العلمانية صممت لضرب الاسلام ذاته كما انه يضيف بان من يتخيل ان العلمانية تقصد كل الاديان واهم و ان الامر مقصور على الدين الاسلامى فقط.و لن افسر طبعا اصل العلمانية و كيف ظهرت فى اوروبا و كيف انها صممت اصلا لكبح سيطرة الكنيسة فالقارئ اعلم منى بمراحل ******************** اما رسائله لاقباط مصر و غيرها و على الرغم من ظاهره الطيب يحوى اراء سلبية لم احب ان تصدر من شيخى الغزالى ******************** و مازالت افضل قراءة الغزالى فى قضايا المرأة فهو يمثل لى رأى الاسلام الجميل فى قضيتنا كنساء تلك الامة و مجموعة المقالات عن المرأة هى سبب النجمتين و كان مقاله عن صوت المرأة مثال على ذلك .طبعا عقلى مازال غير ناضج بعد للدرجة التى احكم فيها على الاراء التى لا تعجبنى.ربما اكبر و اتخلص من عاداتى السيئه فى الحكم الايجابى على الاراء التى تشبه ارائى",0,1,0.969
كتاب جميل لما يحتوي من مشاعر رومانسيه والصدق اعجبني اسلوبه في التشبيه ولكن هناك بعض الخطوط الحمراء التي تعداها الكاتب لدخوله في امور الدين ولم تعجبني بعض الالفاظ اجمالا .كتابه موفقه من خالد الباتلي .,0,0,0.968
قصة ماضي وحاضر.قصة تلاقي أسيا مع أوربا.علي ونينو.تلاقي ثقافات وصراعات وحروب.قصة تكشف عن عادات الأذريباجين والجورجين في الحياة.قصة حب تفوق على العادات والطقوس.قصة حب وطن وخسارات كتيره.بالنهاية قصة أمير وأميرة.,0,1,0.991
للاسف لم يعجبني الكتاب كثيرا لا في محتواه ولا في اسلوب كتابته,0,0,0.524
في بدايتها مشوقة جدا . حتى أني توقعت نهاية عبقرية ومختلفة لم اتوقع ولو للحظة ان تكون النهاية هي عودة حسن لورد وعودة ورد للحياة !! وإلا كانت نسخة مستحدثة من سنووايت ولكن للأسف كانت تلك هي النهاية وهو ما احزني وأضعف هذه الرواية بنظري أحداث الرواية لم تطلعني على جديد ولم تصف لي عالما لا أعرفه كٌلنا نعلم بالفساد المستشري في طبقة رجال الأعمال كلنا نتوقع إنحرافات فتيات الطبقات المعدمة كضرورة للحصول على متطلبات الحياة من منا يخفى عليه الانتهاكات داخل السجون من منا لم ير مخبرا في جامعته هنا او هناك بالإضافة لذلك . فالرواية لم تمسسني كفتاة فكل الإناث الورادات بالرواية قد سقطن في وحل الشهوات الحيوانية الخالية من المشاعر او الضوابط بداية من ورد التي تتعرى لحسن استجداءً لحبه مرورا بالفتاة الجامعية المتحررة بتطرف وصولا إلى ذكرى والتي نوهت الرواية في اكثر من موضع ان دافعها لم يكن وحده فقرها وبؤسها وانتهاك إنسانيتها وكنت أنتظر ظهور ولو فتاة واحدة فقط خلال احداث الرواية . يكون لها شجاعة وبراءة و طهارة وسلامة قلب علي فلم يكن !,0,1,0.969
أنهيت قراءاته شاعرة بأعراض المرض :),0,1,0.509
مش عارف أقول إيه بصراحة.ممكن أقول العيب فيا أنا مفهمتش الرواية ولا استمتعت بيها,0,1,0.907
"لقد قرأت هذه الرواية في السنة الماضية. انها فعلا مؤثرة تعلمت من هذه الرواية احساس "" الخدم"" الحقيقي ,وكيف قد تكون حياتهم سابقا!",0,0,0.993
.رواية قصيرة بعدد صفحاتهاولكن كبيرة بمحتواها,0,0,0.983
انتهيت من الرواية وعقلي مشتت، أغضبتني طريقة تفكير حسان الذي لا يعكس تربية والديه الواعية كما يبدو والبيئة التي يعيش فيها، أستغرب قلة إيمانه ببعض الأمور، كعدم إيمانه بالقضاء والقدر وأكره طريقته في التحدث مع نفسه، في أوقات كثيرة كان أناني جداً وحمداً لله أنه تنبه لذلك في النهاية! الرواية كراوية جيدة إلا أنني لو رأيت حسان أمامي لصفعته! كما أن العنوان لا يمت للمضمون بصلة!! وأعتقد بأني سأتوقف عن قراءة روايات علوان لما تتضمنه من إباحات لكثير من الكبائر!,0,1,0.996
"قذارة . عفن. جنس . دعارة . هذا هو ملخص الكتاب ببساطة. مجموعة من القصص الجنسية التي تليق بصحيفة صفراء و ليس بمفكر ولن أقول مفكر إسلامي. مجرد كتاب آخر من التي تداعب خيالات الشباب و الفتيات الجنسية في مرحلة المراهقة. نفس هذا الكلام حرفيا ينطبق علي كتاب مصطفى محمود الآخر "" اعترافات عشاق "". كلاهما نفس الشئ",0,1,0.995
"لم أستطع بلع أحلام في هذا الكتاب لأسباب كثيرة، أولها لأني أعتقد بأنه أصبح قديمًا مع الوقت الذي مر بسرعة، ففي هذا الكتاب مجموعة مقالات نشرت في مجلة زهرة الخليج حول بوش وعائلته وغزو العراق وما إلى ذلك إلى جانب بعض المقالات المتنوعة هنا وهناك. المقالات جميلة اذا ما نشرت اسبوعيًا في مجلة لكن قرائتها بشكل متكرر هكذا مضجر بعض الشيء والجديد الذي تقدمه شحيح. أحلام كاتبة مليئة بالثقافة، مغموسة في عالم الاتطلاع الجميل بكلها، لكني لا أجدها في السياسة رغم كونها تمتلك ذلك الاسلوب الساخر الطريف، لكن لمن قرأ ثلاثيتها أوجه هذا الحديث، فمن يقرؤها في زي العاطفية الروائية ثم ينتقل إلى عالم المقالات والسياسة والحروب وما إلى ذلك سيقول ""عط الخباز خبزة"" فالمقالات لا أستطيع القول عنها انها سياسية بحتة فهي ممزوجة بالعاطفة والإضافات وحس الفكاهة خاصة تلك التي تتحدث عن بوش والعالم العربي. رغم كوني من المتحزبين للعراقيين ومأساة الغزو العراقي لكني وجدت في حزنها بعض الافتعال، حزن العراق هو ذلك الحزن العاطفي الدافئ، أن تتعاطف معه لا يعني أن تحاول ارضاء جميع الأطراف، فتجدها تتعاطف مع صدام أحيانًا وتقر أحيانًا ببذخه المبالغ وجرائمه ومن ثم تعود للتعاطف والثناء. ذلك لا أفهمه، وتفعل تقريبًا ذات الأمر مع آمريكا لكنها توضح الجوانب التي تتحدث فيها فتفصل السياسة عن العلم، لكن موضوع العراق لم يكن مقنعًا كفاية. أحلام كاتبة جميلة لكن هذه المقالات أصبحت قديمة وتاريخية، والعالم تغير بعدها كثيرًا جدًا وأصبح أكثر تشويقًا وحدة.",0,1,0.995
"أستطيع أن أقسم الكتاب إلى شقين : الأول : الحديث عن خوارق اللاشعور أو العقل الباطن وتحليل هذه الظواهر ورأي العلماء فيها الثاني: الفلسفة المبنية على الإيمان بخوارق العقل الباطن والإسقاطات الاجتماعية والسياسية والأخلاقية عليه ومحاربته للتفكير المنطقي والانتصار للفلسفة النسبية بالنسبة للشق الأول : فالكاتب أبدع إلى حد كبير في إيراد بيان خوارق العقل الباطن وتأثيره الكبير على المادة , وحديثه عن التجارب والنظريات التي حاولت تفسيره , ولا أجد شعورا إلى الإعجاب بما أورده المؤلف بهذا الشأن أما الشق الثاني : و هو الجانب الفلسفي فقد آلمني كثيرا جدا ما أورده المؤلف من عدة وجوه: 1- انتصاره للفلسفة النسبية : وفرحه الشديد بها وكأنه وقع على كنز عظيم يريد الكاتب أن يصور لنا أن المنهج المنطقي العقلي في الوصول للحقيقة : منهج خاطئ ويحاول بكل السبل أن يحشد الأدلة والبراهين لنصرة فلسفة النسبية البائسة وهيهات ثم هيهات إذا لم تكن هناك قواعد مطلقة وقيم ثابتة يهتدي إليها البشر أصبحنا كالبهائم كل منا يسير ويتبع ما تمليه عليه مصالحه ورغابته النفسية , لا يوجد خير مطلق ولا يوجد شر مطلق إذا فلم قد خلقنا الله؟؟؟ هل لنعيش كالبهائم نفعل ما نريد لا نتساءل عن أية حقائق لأن الحقائق نسبية ما هو حقيقة عندك أكذوبة عندي والعكس إذا سرنا على نهج هذه الفلسفة النسبية التي فرح بها المؤلف كثيرا أصبحنا ملحدين لا نؤمن بشيء ليست لدينا أي قيم أو مبادئ , كل ما يحقق لي منفعة يصبح خيرا وكل ما يقف في طريق منفعتي في الدنيا يصبح شرا , وبالتالي لن يكون هناك أي مانع من أن نكذب نغش نخدع نرتشي نسرق نظلم ما دام هذا يصب في مصلحتنا , لن نؤمن بيوم القيامة والحساب وبالتالي سنقاتل الآخر لنحقق منافعنا الدنيوية أي تخلف و انحطاط في الفكر وصل إليه هذا المؤمن بهذه الفلسفة الرخيصة لا أريد أن أطيل في الكلام , وأكتفي بهذا الرد : لو سلمنا بالفلسفة النسبية وأن جميع القيم والحقائق نسبية صحيحة عن البعض خاطئة عن البعض ترتب على هذا أن هذه القاعدة هي نسبية أيضا أي هناك حقائق مطلقة ثابتة وهناك حقائق نسبية , وإذا أنكرت هذا الكلام وقلت أن الفلسفة النسبية هي حقيقة مطلقة ثابتة للكون تكون بذلك نقضت هذه الفلسفة وآمنت بأن هناك حقائق ثابتة في هذا الكون 2- نقده الشديد للتفكير العقلي المنطقي , وأن النجاح ليس حليفا للجد والاجتهاد بل حليف لحظة التجلي والإلهام قد يكون في هذه العبارة شيء من الصحة لكنها ليست صحيحة بإطلاقها أبدا , يقول الله تعالى ""إن الله لا يضيع أجر من أحسن عملا"" ويقول ""قل هل يستوي الذين يعلمون والذين لا يعلمون"" شاءت سنة الله في الكون أن يكون النجاح والنهضة سبيل للجد والاجتهاد وانظر هل كان للعرب حضارة وهم ظلام جهاليتهم وتخلفهم ؟! وهل كان لأوربا في قرونها الوسطى حضارة وهم ظلام طفيان الكنسية وحجرها على العلم والعقل , للأسف الشديد آلمني كلام المؤلف كثيرا لأننا في ظل وضع الأمة الإسلامي الحالي المتردي ورغبة المفكرين والعلماء أن ينهضوا بالأمة بالعمل والاجتهاد والعودة للعلم والاهتمام بالعقول النيرة : يريد منا المؤلف أن ندع هذا ونبقى غارقين في تخلفنا وجهلنا لأن النجاح هو حليف الإلهام والتجلي وما الاجتهاد والجد إلى أكذوبة تنفع للصغار!!! أنا لا أنكر بعد كل هذه البحوث عن العقل الباطن أو اللاشعور أن له دخل في النجاح والتفوق لكن ليس معنى هذا أبدا أن نتنكر للأمر الذي ميزنا الله به عن البهائم وهو العقل ونلقي به في سلة القمامة , لم لا يكون العقل اللاواعي والواعي يسيران معا على نفس الدرب يسيران معا إلى طريق النجاح لا أكتفي أن أقنع عقلي الباطن بأنني إنسان ناجح وأكرر كل صباح 100 مرة ""أنا ناجح"" وأترك العمل والاجتهاد فإن السماء لا تمطر ذهبا ولافضة بل أقرن هذا الإيحاء الإيجابي بالعمل والاجتهاد والتفكير 3- لم يتطرق المؤلف للجانب العملي : كيف أستفيد من العقل الباطن ؟ وكيف أجعله يقودني للنجاح ؟ هذه هي مربط الفرس وللأسف لم يتطرق لها الكاتب , لذا سقطت قيمة كبيرة من الكتاب لأن الفلسفة والتنظر غلب عليه ولم يأت بحلول عملية , لذا أدعو من أراد أن يقرأ كتابا عن العقل الباطن بعيدا عن هذه الفلسفة المقيتة التي ذكرها المؤلف ومليء بالحلول والتطبيقات العملية للعقل الباطن أنصحه أن يقرأ كتاب قوة العقل الباطن لجوزيف ميرفي الخلاصة : ينبغى أن يكون العقل الواعي واللاواعي حليفان يسيران معا نحو النجاح , أي : نجتهد ونعمل ونفكر ونستخدم عقولنا للنهضة بالأمة وفي نفس الوقت نغذي عقلنا الباطن بالإيحاء الإيجابي وبهذا نكون استفدنا من الاثنين ولم نغلب جانب على آخر",0,2,0.826
اعجبت بأسلوب الكاتبة كثيراً و وصفها لبعض آلامها بطريقة اندهشت لها كثيراً و لكن ما لم يعجبني هو جزء من محتوى الرواية طريقة مناقشتها للاديان و علاقة المرأة بالرجل الشرعية منها و غير الشرعية.بصراحة اثارت اشمئزازي و كنت افكر بترك الرواية و قد وصلت للصفحة ال٤٠ احسست انني لا احتاج ان اقرأ تفاصيل عميقة عن تلك العلاقات لكن فكرة انها امرأة تتكون او انها تشعر بأنها تتكون من طابقين شدني كثيرا لكي اعرف لم و كيف هي من طابقين؟ اعترف انني اول مرة اقرأ رواية بالعربية و تكون بتلك الجرأة الواضحة التي لم تعجبني خاصة من امرأة شرقية لم اعطها اكثر من نجمتين بسبب ان الجزء الذي كرهته كان يمثل معظم الرواية و لكن كما قلت اعجبت بأسلوبها في الوصف و ايضا في فكرة انها تتكون من طابقين يمزقانها بسبب تناقضهما المحير,0,1,0.97
قرأت ما كتب عن هذه الرواية قبل قرائتها وكنت لسبب ما أحرص على عدم وضعها ضمن قائمة الكتب التي أرغب بإضافتها إلى مكتبتي . قررت بعد استغراقي في قراءة كتب علمية ضمن اختصاصي أن ألجأ لهذه الرواية كنسخة الكترونية على سبيل التسرية عن النفس . تشبه إلى حد ما رواية - مجازاً رواية - و يبقى الحب نابضاً في القلوب لعلياء الكاظمي من حيث اللغة الركيكة و الأفكار الساذجة والعادات والتقاليد في مجتمع منغلق على نفسه . كنت كلما زرت المكتبة أعجب لوجود رواية علياء الكاظمي كل مرة في طبعة جديدة !! كذلك رواية رجاء الصانع لا أدري كيف يمكن الاستمرار في طباعة المزيد منها و الاغرب أن تتم ترجمتها للإنجليزية !!! كان الله في عون القارئ العربي,0,1,0.695
"بدأت قِراءة الصفحات الأولى على نغمات فيفالدي ، ثم انتهيت على نغمات كيفن مكلويد ، هذا ما خرجت به من الرواية ! الرواية إصدار جديد من كتابات أحمد عبدالله لشركة السُبكي ، رواية المكان الذي يعج بشخصيات حياتهم مأساويّة ، يُمكنني أن أضع في دور ""صابحة"" سُميّة الخشّاب ، وهذا كَفيل أن أكره الرواية للأبد ! هُناك عُمق في رَسم الشخصيات لاشك ، خاصةً بعد روايته الأولى ""يوتوبيا"" التي دارت حول الساخر الرجل والشاب والمرأة والطفلة ، لكن الشخصيات نفسها نمطيّة موجودة في كل أفلام أحمد عبدالله بدايةً من ""كباريه"" إلى ""ساعة ونُص"""" ، اختلال الشريط الزمنيّ للرواية تم تفسيره في الصفحة الأخيرة بسبب هش ، تم تأخيره ليبدو كفاكهة الرواية ، وفي الحقيقة لمْ يكن سوى ""عُذر أقبح من ذنب"" . على أيّ حال كان يمكن تلخيص الرواية تحت عنوان ""تناقضات الشعب المصري المنسجمة"" ، أيّ اسم سخيف مُبتذَل أفضل من إهدار وقت قراءة رواية نمطيّة ! ما قد يُفيدك فعلاً - لو كنت كاتباً - هو كَم الأفكار الفلسفيّة التي قد تستلهمها لا من الرواية لكن من سؤالك ""كيف يُمكن أن تبدو الرواية أفضل؟ "" ، أعدك أن تخرج بأفكارٍ كثيرة أفضل مما التقطها د.أحمد. ما زلت عاشقاً لكتابات هذا الرجل ، لهذا سأتجاهل أني قرأت هذه الرواية !",0,1,0.991
