sku,date,units_sold
SKU_103,2024-03-18,2
SKU_103,2024-03-25,32
SKU_103,2024-04-01,29
SKU_103,2024-04-15,17
SKU_103,2024-04-29,9
SKU_103,2024-05-06,20
SKU_103,2024-05-13,12
SKU_103,2024-05-20,15
SKU_103,2024-05-27,23
SKU_103,2024-06-03,20
SKU_103,2024-06-17,28
SKU_104,2023-01-09,7
SKU_104,2023-01-16,2
SKU_104,2023-01-23,30
SKU_104,2023-02-06,36
SKU_104,2023-02-13,7
SKU_104,2023-02-27,15
SKU_104,2023-03-06,29
SKU_104,2023-03-13,38
SKU_104,2023-03-20,13
SKU_104,2023-03-27,49
SKU_104,2023-04-03,5
SKU_104,2023-04-10,5
SKU_104,2023-04-17,32
SKU_104,2023-05-15,8
SKU_104,2023-05-29,12
SKU_104,2023-06-19,35
SKU_104,2023-06-26,3
SKU_104,2023-07-03,6
SKU_104,2023-07-10,13
SKU_104,2023-07-17,15
SKU_104,2023-07-24,12
SKU_104,2023-07-31,8
SKU_104,2023-08-14,39
SKU_104,2023-08-21,34
SKU_104,2023-08-28,15
SKU_104,2023-09-11,34
SKU_104,2023-09-18,26
SKU_104,2023-09-25,11
SKU_104,2023-10-02,40
SKU_104,2023-10-09,21
SKU_104,2023-10-30,18
SKU_104,2023-11-06,21
SKU_104,2023-11-13,11
SKU_104,2023-11-20,17
SKU_104,2023-11-27,10
SKU_104,2023-12-11,28
SKU_104,2023-12-25,8
SKU_104,2024-01-01,29
SKU_104,2024-01-15,8
SKU_104,2024-02-05,12
SKU_104,2024-02-12,11
SKU_104,2024-02-19,18
SKU_104,2024-02-26,9
SKU_104,2024-03-04,38
SKU_104,2024-03-18,31
SKU_104,2024-04-01,20
SKU_104,2024-04-08,25
SKU_104,2024-04-29,12
SKU_104,2024-05-06,4
SKU_104,2024-05-13,42
SKU_104,2024-05-20,27
SKU_104,2024-05-27,19
SKU_104,2024-06-03,16
SKU_105,2023-01-02,25
SKU_105,2023-01-09,18
SKU_105,2023-01-16,8
SKU_105,2023-01-23,16
SKU_105,2023-02-06,3
SKU_105,2023-03-06,11
SKU_105,2023-04-03,8
SKU_105,2023-04-10,33
SKU_105,2023-04-17,16
SKU_105,2023-04-24,13
SKU_105,2023-05-01,4
SKU_105,2023-05-08,45
SKU_105,2023-05-15,38
SKU_105,2023-05-22,23
SKU_105,2023-05-29,5
SKU_105,2023-06-19,45
SKU_105,2023-06-26,10
SKU_105,2023-07-03,3
SKU_105,2023-07-10,16
SKU_105,2023-07-17,15
SKU_105,2023-07-24,6
SKU_105,2023-07-31,7
SKU_105,2023-08-14,26
SKU_105,2023-08-21,7
SKU_105,2023-08-28,16
SKU_105,2023-09-04,62
SKU_105,2023-09-18,27
SKU_105,2023-09-25,23
SKU_105,2023-10-02,5
SKU_105,2023-10-09,54
SKU_105,2023-10-16,10
SKU_105,2023-10-23,21
SKU_105,2023-10-30,18
SKU_105,2023-11-06,15
SKU_105,2023-11-13,23
SKU_105,2023-11-27,22
SKU_105,2023-12-04,17
SKU_105,2023-12-11,28
SKU_105,2023-12-18,4
SKU_105,2023-12-25,14
SKU_105,2024-01-01,20
SKU_105,2024-01-15,6
SKU_105,2024-01-22,6
SKU_105,2024-01-29,9
SKU_105,2024-02-05,9
SKU_105,2024-02-12,6
SKU_105,2024-02-26,13
SKU_105,2024-03-04,18
SKU_105,2024-03-11,17
SKU_105,2024-04-01,1
SKU_105,2024-04-08,31
SKU_105,2024-04-15,24
SKU_105,2024-04-22,18
SKU_105,2024-04-29,11
SKU_105,2024-05-06,14
SKU_105,2024-05-20,9
SKU_105,2024-05-27,10
SKU_105,2024-06-03,7
SKU_106,2023-01-09,11
SKU_106,2023-01-23,13
SKU_106,2023-01-30,1
SKU_106,2023-02-06,14
SKU_106,2023-02-13,19
SKU_106,2023-02-20,4
SKU_106,2023-02-27,7
SKU_106,2023-03-06,15
SKU_106,2023-03-13,9
SKU_106,2023-03-20,9
SKU_106,2023-03-27,45
SKU_106,2023-04-03,30
SKU_106,2023-04-10,29
SKU_106,2023-04-24,7
SKU_106,2023-05-08,5
SKU_106,2023-05-22,16
SKU_106,2023-06-12,31
SKU_106,2023-07-03,13
SKU_106,2023-07-17,30
SKU_106,2023-07-24,34
SKU_106,2023-07-31,16
SKU_106,2023-08-07,2
SKU_106,2023-08-21,1
SKU_106,2023-08-28,17
SKU_106,2023-09-04,6
SKU_106,2023-09-11,4
SKU_106,2023-09-18,3
SKU_106,2023-09-25,35
SKU_106,2023-10-09,5
SKU_106,2023-10-16,27
SKU_106,2023-11-06,20
SKU_106,2023-11-13,31
SKU_106,2023-11-20,12
SKU_106,2023-11-27,13
SKU_106,2023-12-11,11
SKU_106,2023-12-18,1
SKU_106,2023-12-25,4
SKU_106,2024-01-15,2
SKU_106,2024-01-29,15
SKU_106,2024-02-05,10
SKU_106,2024-02-26,10
SKU_106,2024-03-04,3
SKU_106,2024-03-11,19
SKU_106,2024-03-18,4
SKU_106,2024-03-25,25
SKU_106,2024-04-08,23
SKU_106,2024-04-22,7
SKU_106,2024-04-29,11
SKU_106,2024-05-06,16
SKU_106,2024-05-20,21
SKU_106,2024-05-27,14
SKU_106,2024-06-10,18
SKU_106,2024-06-17,17
SKU_107,2023-01-02,5
SKU_107,2023-01-09,3
SKU_107,2023-01-16,31
SKU_107,2023-01-30,44
SKU_107,2023-02-06,47
SKU_107,2023-02-20,30
SKU_107,2023-03-06,15
SKU_107,2023-03-13,11
SKU_107,2023-03-20,8
SKU_107,2023-03-27,2
SKU_107,2023-04-03,17
SKU_107,2023-04-10,19
SKU_107,2023-04-17,13
SKU_107,2023-04-24,11
SKU_107,2023-05-01,14
SKU_107,2023-05-15,4
SKU_107,2023-05-22,25
SKU_107,2023-05-29,17
SKU_107,2023-06-12,13
SKU_107,2023-06-19,51
SKU_107,2023-06-26,9
SKU_107,2023-07-03,19
SKU_107,2023-07-10,20
SKU_107,2023-07-31,4
SKU_107,2023-08-07,22
SKU_107,2023-08-14,18
SKU_107,2023-08-21,1
SKU_107,2023-08-28,11
SKU_107,2023-09-11,16
SKU_107,2023-09-18,10
SKU_107,2023-09-25,3
SKU_107,2023-10-09,28
SKU_107,2023-10-16,7
SKU_107,2023-10-23,11
SKU_107,2023-11-06,12
SKU_107,2023-11-13,16
SKU_107,2023-11-27,7
SKU_107,2023-12-11,7
SKU_107,2024-01-01,16
SKU_107,2024-01-15,16
SKU_107,2024-01-22,12
SKU_107,2024-01-29,4
SKU_107,2024-02-05,1
SKU_107,2024-02-19,38
SKU_107,2024-02-26,33
SKU_107,2024-03-04,25
SKU_107,2024-03-11,31
SKU_107,2024-03-18,4
SKU_107,2024-03-25,3
SKU_107,2024-04-15,1
SKU_107,2024-04-22,12
SKU_107,2024-05-06,24
SKU_107,2024-05-13,8
SKU_107,2024-05-27,28
SKU_107,2024-06-03,47
SKU_108,2023-01-02,50
SKU_108,2023-01-09,20
SKU_108,2023-01-16,13
SKU_108,2023-01-30,24
SKU_108,2023-02-06,3
SKU_108,2023-02-13,15
SKU_108,2023-02-20,16
SKU_108,2023-02-27,2
SKU_108,2023-03-06,8
SKU_108,2023-03-13,7
SKU_108,2023-03-20,25
SKU_108,2023-03-27,25
SKU_108,2023-04-10,16
SKU_108,2023-04-17,17
SKU_108,2023-04-24,30
SKU_108,2023-05-15,42
SKU_108,2023-05-22,7
SKU_108,2023-06-05,44
SKU_108,2023-06-12,18
SKU_108,2023-06-19,28
SKU_108,2023-06-26,10
SKU_108,2023-07-03,26
SKU_108,2023-07-10,13
SKU_108,2023-07-17,25
SKU_108,2023-07-24,26
SKU_108,2023-07-31,20
SKU_108,2023-08-07,26
SKU_108,2023-08-14,5
SKU_108,2023-08-21,11
SKU_108,2023-09-04,11
SKU_108,2023-09-11,54
SKU_108,2023-09-18,14
SKU_108,2023-09-25,14
SKU_108,2023-10-16,34
SKU_108,2023-10-23,10
SKU_108,2023-10-30,9
SKU_108,2023-11-06,12
SKU_108,2023-11-13,20
SKU_108,2023-11-20,36
SKU_108,2023-11-27,39
SKU_108,2023-12-04,32
SKU_108,2023-12-18,11
SKU_108,2024-01-01,33
SKU_108,2024-01-08,31
SKU_108,2024-01-15,5
SKU_108,2024-01-22,17
SKU_108,2024-02-05,7
SKU_108,2024-02-12,43
SKU_108,2024-02-26,6
SKU_108,2024-03-04,28
SKU_108,2024-03-11,16
SKU_108,2024-03-18,16
SKU_108,2024-03-25,45
SKU_108,2024-04-01,4
SKU_108,2024-04-08,10
SKU_108,2024-05-13,9
SKU_108,2024-05-27,12
SKU_108,2024-06-03,27
SKU_108,2024-06-17,19
SKU_108,2024-06-24,13
SKU_109,2022-12-26,7
SKU_109,2023-01-09,28
SKU_109,2023-01-23,26
SKU_109,2023-02-06,21
SKU_109,2023-02-13,2
SKU_109,2023-03-13,17
SKU_109,2023-03-20,16
SKU_109,2023-04-03,4
SKU_109,2023-04-10,34
SKU_109,2023-04-17,22
SKU_109,2023-05-01,13
SKU_109,2023-05-08,20
SKU_109,2023-05-15,10
SKU_109,2023-05-22,18
SKU_109,2023-05-29,9
SKU_109,2023-06-05,36
SKU_109,2023-06-12,20
SKU_109,2023-06-26,20
SKU_109,2023-07-03,8
SKU_109,2023-07-17,27
SKU_109,2023-07-24,17
SKU_109,2023-08-07,14
SKU_109,2023-08-14,8
SKU_109,2023-09-11,19
SKU_109,2023-09-25,18
SKU_109,2023-10-02,13
SKU_109,2023-10-09,9
SKU_109,2023-10-16,63
SKU_109,2023-10-23,1
SKU_109,2023-10-30,39
SKU_109,2023-11-06,20
SKU_109,2023-11-13,13
SKU_109,2023-11-20,23
SKU_109,2023-11-27,10
SKU_109,2023-12-25,18
SKU_109,2024-01-01,4
SKU_109,2024-01-08,27
SKU_109,2024-01-22,27
SKU_109,2024-02-05,36
SKU_109,2024-02-12,19
SKU_109,2024-02-19,8
SKU_109,2024-02-26,18
SKU_109,2024-03-11,4
SKU_109,2024-03-18,11
SKU_109,2024-03-25,7
SKU_109,2024-04-01,35
SKU_109,2024-04-08,11
SKU_109,2024-04-29,6
SKU_109,2024-05-06,12
SKU_109,2024-05-20,20
SKU_109,2024-05-27,24
SKU_109,2024-06-03,33
SKU_110,2023-01-02,15
SKU_110,2023-01-23,40
SKU_110,2023-02-06,1
SKU_110,2023-02-13,5
SKU_110,2023-02-20,17
SKU_110,2023-03-06,1
SKU_110,2023-03-13,26
SKU_110,2023-03-20,6
SKU_110,2023-04-03,10
SKU_110,2023-04-24,11
SKU_110,2023-05-01,11
SKU_110,2023-05-22,25
SKU_110,2023-05-29,44
SKU_110,2023-06-05,13
SKU_110,2023-06-12,36
SKU_110,2023-06-26,16
SKU_110,2023-07-03,11
SKU_110,2023-07-17,18
SKU_110,2023-07-31,5
SKU_110,2023-08-21,12
SKU_110,2023-08-28,16
SKU_110,2023-09-04,13
SKU_110,2023-09-11,4
SKU_110,2023-09-25,42
SKU_110,2023-10-02,13
SKU_110,2023-10-09,12
SKU_110,2023-10-16,17
SKU_110,2023-10-23,2
SKU_110,2023-10-30,14
SKU_110,2023-11-13,32
SKU_110,2023-11-20,51
SKU_110,2023-12-04,12
SKU_110,2023-12-11,6
SKU_110,2023-12-18,12
SKU_110,2023-12-25,9
SKU_110,2024-01-08,30
SKU_110,2024-01-22,17
SKU_110,2024-02-05,27
SKU_110,2024-02-12,32
SKU_110,2024-02-19,6
SKU_110,2024-02-26,29
SKU_110,2024-04-08,47
SKU_110,2024-04-15,10
SKU_110,2024-04-22,26
SKU_110,2024-05-06,56
SKU_110,2024-05-13,58
SKU_110,2024-05-20,9
SKU_110,2024-05-27,5
SKU_110,2024-06-03,19
SKU_110,2024-06-10,29
SKU_110,2024-06-17,10
SKU_111,2023-01-02,41
SKU_111,2023-01-16,30
SKU_111,2023-01-23,10
SKU_111,2023-01-30,12
SKU_111,2023-02-06,13
SKU_111,2023-02-20,43
SKU_111,2023-03-13,21
SKU_111,2023-03-20,40
SKU_111,2023-03-27,50
SKU_111,2023-04-03,18
SKU_111,2023-04-10,10
SKU_111,2023-04-17,19
SKU_111,2023-05-08,23
SKU_111,2023-05-29,20
SKU_111,2023-06-05,21
SKU_111,2023-06-12,11
SKU_111,2023-06-19,21
SKU_111,2023-06-26,11
SKU_111,2023-07-03,19
SKU_111,2023-07-24,16
SKU_111,2023-08-14,12
SKU_111,2023-08-21,4
SKU_111,2023-09-04,19
SKU_111,2023-09-11,23
SKU_111,2023-09-18,12
SKU_111,2023-10-02,12
SKU_111,2023-10-09,11
SKU_111,2023-10-30,30
SKU_111,2023-11-06,23
SKU_111,2023-11-13,18
SKU_111,2023-11-27,28
SKU_111,2023-12-04,21
SKU_111,2024-01-01,53
SKU_111,2024-01-15,28
SKU_111,2024-02-05,18
SKU_111,2024-02-12,1
SKU_111,2024-02-19,20
SKU_111,2024-02-26,8
SKU_111,2024-03-11,20
SKU_111,2024-03-25,11
SKU_111,2024-04-01,41
SKU_111,2024-04-22,24
SKU_111,2024-04-29,9
SKU_111,2024-05-06,20
SKU_111,2024-05-20,29
SKU_111,2024-06-03,8
SKU_111,2024-06-10,13
SKU_111,2024-06-17,25
SKU_112,2023-01-02,10
SKU_112,2023-01-09,13
SKU_112,2023-01-16,1
SKU_112,2023-01-23,32
SKU_112,2023-02-27,25
SKU_112,2023-03-06,7
SKU_112,2023-03-20,17
SKU_112,2023-03-27,35
SKU_112,2023-04-03,43
SKU_112,2023-04-10,44
SKU_112,2023-05-01,21
SKU_112,2023-05-15,2
SKU_112,2023-05-22,13
SKU_112,2023-05-29,8
SKU_112,2023-06-05,19
SKU_112,2023-06-19,31
SKU_112,2023-07-03,51
SKU_112,2023-07-31,19
SKU_112,2023-08-07,10
SKU_112,2023-08-21,41
SKU_112,2023-09-11,8
SKU_112,2023-09-18,5
SKU_112,2023-10-02,23
SKU_112,2023-10-09,23
SKU_112,2023-10-16,7
SKU_112,2023-11-13,15
SKU_112,2023-11-20,18
SKU_112,2023-11-27,29
SKU_112,2023-12-04,19
SKU_112,2023-12-11,22
SKU_112,2023-12-18,10
SKU_112,2023-12-25,13
SKU_112,2024-01-15,5
SKU_112,2024-02-12,16
SKU_112,2024-02-19,7
SKU_112,2024-03-04,32
SKU_112,2024-03-11,20
SKU_112,2024-03-18,34
SKU_112,2024-03-25,12
SKU_112,2024-04-01,21
SKU_112,2024-04-08,5
SKU_112,2024-04-15,12
SKU_112,2024-04-22,17
SKU_112,2024-04-29,40
SKU_112,2024-05-06,20
SKU_112,2024-05-20,11
SKU_112,2024-05-27,16
SKU_112,2024-06-03,20
SKU_112,2024-06-10,15
SKU_112,2024-06-17,13
SKU_113,2022-12-26,11
SKU_113,2023-01-16,19
SKU_113,2023-01-23,10
SKU_113,2023-02-06,29
SKU_113,2023-02-27,23
SKU_113,2023-03-06,1
SKU_113,2023-03-13,40
SKU_113,2023-03-27,16
SKU_113,2023-04-03,8
SKU_113,2023-04-10,21
SKU_113,2023-04-17,12
SKU_113,2023-04-24,19
SKU_113,2023-05-08,35
SKU_113,2023-05-15,9
SKU_113,2023-06-05,32
SKU_113,2023-06-12,40
SKU_113,2023-07-10,29
SKU_113,2023-07-17,15
SKU_113,2023-07-24,17
SKU_113,2023-08-14,6
SKU_113,2023-08-21,3
SKU_113,2023-08-28,19
SKU_113,2023-09-04,9
SKU_113,2023-09-11,16
SKU_113,2023-09-18,5
SKU_113,2023-09-25,21
SKU_113,2023-10-02,33
SKU_113,2023-10-09,19
SKU_113,2023-10-16,9
SKU_113,2023-10-23,21
SKU_113,2023-10-30,5
SKU_113,2023-11-20,15
SKU_113,2023-12-04,12
SKU_113,2023-12-11,4
SKU_113,2024-01-15,22
SKU_113,2024-01-29,8
SKU_113,2024-02-05,4
SKU_113,2024-02-12,38
SKU_113,2024-02-26,4
SKU_113,2024-03-04,1
SKU_113,2024-03-11,56
SKU_113,2024-03-18,18
SKU_113,2024-03-25,9
SKU_113,2024-04-01,10
SKU_113,2024-04-08,9
SKU_113,2024-04-15,9
SKU_113,2024-04-22,5
SKU_113,2024-04-29,2
SKU_113,2024-05-06,30
SKU_113,2024-05-20,13
SKU_113,2024-05-27,1
SKU_113,2024-06-03,1
SKU_113,2024-06-10,47
SKU_113,2024-06-24,7
SKU_114,2022-12-26,5
SKU_114,2023-01-02,10
SKU_114,2023-01-09,7
SKU_114,2023-01-30,43
SKU_114,2023-02-06,12
SKU_114,2023-02-13,15
SKU_114,2023-02-20,13
SKU_114,2023-02-27,33
SKU_114,2023-03-06,27
SKU_114,2023-03-13,19
SKU_114,2023-03-20,12
SKU_114,2023-03-27,23
SKU_114,2023-04-03,4
SKU_114,2023-04-17,31
SKU_114,2023-04-24,14
SKU_114,2023-05-01,15
SKU_114,2023-05-08,11
SKU_114,2023-05-15,4
SKU_114,2023-05-22,39
SKU_114,2023-05-29,30
SKU_114,2023-06-05,1
SKU_114,2023-06-12,3
SKU_114,2023-06-19,24
SKU_114,2023-07-03,13
SKU_114,2023-07-17,18
SKU_114,2023-07-24,2
SKU_114,2023-07-31,4
SKU_114,2023-08-14,18
SKU_114,2023-09-04,12
SKU_114,2023-09-11,6
SKU_114,2023-09-25,3
SKU_114,2023-10-02,10
SKU_114,2023-10-09,23
SKU_114,2023-10-23,8
SKU_114,2023-11-13,4
SKU_114,2023-11-20,29
SKU_114,2023-12-04,15
SKU_114,2023-12-11,14
SKU_114,2023-12-18,13
SKU_114,2023-12-25,15
SKU_114,2024-01-01,12
SKU_114,2024-01-08,46
SKU_114,2024-01-22,19
SKU_114,2024-01-29,18
SKU_114,2024-02-05,31
SKU_114,2024-02-12,12
SKU_114,2024-02-26,16
SKU_114,2024-03-11,10
SKU_114,2024-03-18,29
SKU_114,2024-03-25,35
SKU_114,2024-04-01,33
SKU_114,2024-04-08,20
SKU_114,2024-04-15,3
SKU_114,2024-04-22,6
SKU_114,2024-04-29,19
SKU_114,2024-05-06,20
SKU_114,2024-05-20,16
SKU_114,2024-05-27,15
SKU_114,2024-06-03,17
SKU_114,2024-06-10,18
SKU_114,2024-06-24,10
SKU_115,2023-01-02,16
SKU_115,2023-01-09,14
SKU_115,2023-01-30,38
SKU_115,2023-02-13,7
SKU_115,2023-02-27,9
SKU_115,2023-03-13,22
SKU_115,2023-03-20,21
SKU_115,2023-03-27,26
SKU_115,2023-04-10,11
SKU_115,2023-04-17,13
SKU_115,2023-04-24,39
SKU_115,2023-05-01,30
SKU_115,2023-05-08,8
SKU_115,2023-05-15,11
SKU_115,2023-05-29,5
SKU_115,2023-06-05,38
SKU_115,2023-06-12,18
SKU_115,2023-07-03,15
SKU_115,2023-07-10,8
SKU_115,2023-07-17,30
SKU_115,2023-07-24,15
SKU_115,2023-08-21,5
SKU_115,2023-09-04,20
SKU_115,2023-09-18,2
SKU_115,2023-09-25,1
SKU_115,2023-10-02,45
SKU_115,2023-10-09,28
SKU_115,2023-10-16,19
SKU_115,2023-10-23,34
SKU_115,2023-10-30,45
SKU_115,2023-11-06,34
SKU_115,2023-11-13,28
SKU_115,2023-11-20,7
SKU_115,2023-11-27,9
SKU_115,2023-12-04,9
SKU_115,2023-12-11,18
SKU_115,2023-12-18,31
SKU_115,2023-12-25,19
SKU_115,2024-01-01,3
SKU_115,2024-01-15,16
SKU_115,2024-01-22,33
SKU_115,2024-01-29,13
SKU_115,2024-02-12,50
SKU_115,2024-02-19,1
SKU_115,2024-02-26,13
SKU_115,2024-03-04,5
SKU_115,2024-03-11,20
SKU_115,2024-03-18,41
SKU_115,2024-03-25,19
SKU_115,2024-04-08,26
SKU_115,2024-04-15,22
SKU_115,2024-04-29,12
SKU_115,2024-05-06,5
SKU_115,2024-05-13,18
SKU_115,2024-05-27,30
SKU_115,2024-06-10,16
SKU_115,2024-06-17,11
SKU_116,2023-01-09,6
SKU_116,2023-01-16,22
SKU_116,2023-01-23,14
SKU_116,2023-02-06,17
SKU_116,2023-02-13,7
SKU_116,2023-02-27,14
SKU_116,2023-03-06,9
SKU_116,2023-03-13,2
SKU_116,2023-03-27,6
SKU_116,2023-04-03,11
SKU_116,2023-04-17,6
SKU_116,2023-05-01,35
SKU_116,2023-05-08,25
SKU_116,2023-05-15,20
SKU_116,2023-05-22,16
SKU_116,2023-05-29,2
SKU_116,2023-06-05,19
SKU_116,2023-06-12,12
SKU_116,2023-06-19,2
SKU_116,2023-06-26,44
SKU_116,2023-07-10,20
SKU_116,2023-07-24,10
SKU_116,2023-08-07,29
SKU_116,2023-08-14,2
SKU_116,2023-08-21,57
SKU_116,2023-09-04,20
SKU_116,2023-09-11,23
SKU_116,2023-09-18,14
SKU_116,2023-09-25,16
SKU_116,2023-10-02,13
SKU_116,2023-10-09,22
SKU_116,2023-10-23,15
SKU_116,2023-10-30,15
SKU_116,2023-11-06,20
SKU_116,2023-11-20,28
SKU_116,2023-11-27,12
SKU_116,2023-12-04,13
SKU_116,2023-12-11,11
SKU_116,2023-12-18,18
SKU_116,2023-12-25,12
SKU_116,2024-01-01,40
SKU_116,2024-01-08,24
SKU_116,2024-01-15,15
SKU_116,2024-01-22,4
SKU_116,2024-01-29,2
SKU_116,2024-02-05,33
